strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/LYON/CHU/6036/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/6036/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/6052/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/6070/2000		A	H3N2	2000		virus_only	7	0
A/LYON/CHU/6083/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/6087/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/6090/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/617/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/6224/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/63/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/6303/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/6468/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/6497/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/6520/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/6584/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/6585/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/6614/2011		A	H3N2	2011		virus_only	16	0
A/LYON/CHU/6839/1993		A	H3N2	1993		virus_only	7	0
A/LYON/CHU/6981/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7085/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7095/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7099/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/7101/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7137/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/7195/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/7217/1998#ORIGINAL		A	H3N2			virus_only	4	0
A/LYON/CHU/7265/1998		A	H3N2	1998		virus_only	4	0
A/LYON/CHU/7272/1998		A	H3N2	1998		virus_only	4	0
A/LYON/CHU/7305/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7317/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7339/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7346/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7383/1998		A	H3N2	1998		virus_only	4	0
A/LYON/CHU/7446/1998		A	H3N2	1998		virus_only	4	0
A/LYON/CHU/7474/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7496/2011		A	H3N2	2011		virus_only	8	0
A/LYON/CHU/7570/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7579/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7594/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7603/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7619/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7667/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7703/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/7726/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7733/1998		A	H3N2	1998		virus_only	4	0
A/LYON/CHU/775/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/7753/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7819/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7820/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/7825/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7826/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7828/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7833/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7865/1998		A	H3N2	1998		virus_only	4	0
A/LYON/CHU/7953/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7954/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7955/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/7956/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/8001/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/8002/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/81/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/8184/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/835/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/835/2002		A	H3N2	2002		virus_only	6	0
A/LYON/CHU/8407/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/868/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/8722/1998		A	H3N2	1998		virus_only	5	0
A/LYON/CHU/8809/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/881/2002		A	H3N2	2002		virus_only	6	0
A/LYON/CHU/8891/1995		A	H3N2	1995		virus_only	6	0
A/LYON/CHU/890/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/899/1994		A	H3N2	1994		virus_only	6	0
A/LYON/CHU/905/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/906/2000		A	H3N2	2000		virus_only	6	0
A/LYON/CHU/9368/1998		A	H3N2	1998		virus_only	4	0
A/LYON/CHU/96/1994		A	H3N2	1994		virus_only	6	0
A/LYON/CHU/9763/1999		A	H3N2	1999		virus_only	5	0
A/LYON/CHU/R175096/2017		A	H3N2	2017		virus_only	8	0
A/LYON/CHU/R175295/2017		A	H3N2	2017		virus_only	8	0
A/LYON/CHU/R1811667/2018		A	H3N2	2018		virus_only	8	0
A/LYON/CHU/R181282/2018		A	H3N2	2018		virus_only	8	0
A/LYON/CHU/R1813393/2018		A	H3N2	2018		virus_only	8	0
A/LYON/CHU/R190259/2019		A	H3N2	2019		virus_only	8	0
A/LYON/CHU/R190377/2019		A	H3N2	2019		virus_only	8	0
A/LYON/CHU/R1914685/2019		A	H3N2	2019		virus_only	9	0
A/LYON/CHU/R1915450/2019		A	H3N2	2019		virus_only	9	0
A/LYON/CHUR185047/2018		A	H3N2	2018		virus_only	8	0
A/LYON/CHUR185448/2018		A	H3N2	2018		virus_only	8	0
A/LYON/CXR/3120/2009		A	H3N2	2009		virus_only	11	0
A/LYON/EHPAD/108/2019		A	H3N2	2019		virus_only	8	0
A/LYON/OMS/229/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/239/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/247/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/279/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/282/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/422/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/470/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/474/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/478/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/501/1992		A	H3N2	1992		virus_only	6	0
A/LYON/OMS/503/1992		A	H3N2	1992		virus_only	6	0
A/LYON/TRS/720/2004		A	H3N2	2004		virus_only	6	0
A/LYONCHU/01593/2011		A	H3N2	2011		virus_only	9	0
A/LYONCHU/113/1992		A	H3N2	1992		virus_only	7	0
A/LYONCHU/167/1992		A	H3N2	1992		virus_only	7	0
A/LYONCHU/185/1992		A	H3N2	1992		virus_only	7	0
A/LYONCHU/238/1992		A	H3N2	1992		virus_only	7	0
A/LYONCHU/239/1992		A	H3N2	1992		virus_only	7	0
A/LYONCHU/241/1992		A	H3N2	1992		virus_only	7	0
A/LYONCHU/24176/1991		A	H3N2	1991		virus_only	7	0
A/LYONCHU/24222/1991		A	H3N2	1991		virus_only	7	0
A/LYONCHU/243/1992		A	H3N2	1992		virus_only	7	0
A/LYONCHU/29514/1996		A	H3N2	1996		virus_only	5	0
A/LYONCHU/46334/2011		A	H3N2	2011		virus_only	9	0
A/LYONCHU/82/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/10/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/106/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/117/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/1395/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1401/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1407/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1419/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1451/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1470/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1475/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1488/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1574/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/1628/1991		A	H3N2	1991		virus_only	7	0
A/LYONOMS/42/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/43/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/47/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/50/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/6/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/60/1992		A	H3N2	1992		virus_only	7	0
A/LYONOMS/89/1992		A	H3N2	1992		virus_only	7	0
A/MACAU/214/2004		A	H3N2	2004		virus_only	5	0
A/MACAU/480/2004		A	H3N2	2004		virus_only	7	0
A/MACAU/557/2005		A	H3N2	2005		virus_only	36	0
A/MACAU/76/2004		A	H3N2	2004		virus_only	5	0
A/MACEDONIA/1283/2019		A	H3N2	2019		virus_only	8	0
A/MACEDONIA/1350/2019		A	H3N2	2019		virus_only	8	0
A/MACEDONIA/1402/2019		A	H3N2	2019		virus_only	8	0
A/MACEDONIA/1462/2019		A	H3N2	2019		virus_only	8	0
A/MACEDONIA/182/2016		A	H3N2	2016		virus_only	12	0
A/MACEDONIA/450/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/465/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/501/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/505/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/509/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/593/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/607/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/621/2009		A	H3N2	2009		virus_only	11	0
A/MACEDONIA/622/2009		A	H3N2	2009		virus_only	9	0
A/MACEDONIA/648/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/650/2020		A	H3N2	2020		virus_only	9	0
A/MACEDONIA/723/2019		A	H3N2	2019		virus_only	8	0
A/MACEDONIA/IK80/2014		A	H3N2	2014		virus_only	20	0
A/MADAGASCAR/00031/2014		A	H3N2	2014		virus_only	19	0
A/MADAGASCAR/00041/2014		A	H3N2	2014		virus_only	19	0
A/MADAGASCAR/00147/2014		A	H3N2	2014		virus_only	9	0
A/MADAGASCAR/00153/2014		A	H3N2	2014		virus_only	9	0
A/MADAGASCAR/0019/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0025/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0054/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0058/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0075/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0079/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0094/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0096/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0106/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0119/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0145/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0147/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0149/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0169/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0176/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0193/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0210/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0211/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0212/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0223/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0257/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0277/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/03233/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03243/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03281/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03294/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03396/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03401/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03408/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03449/2012		A	H3N2	2012		virus_only	9	0
A/MADAGASCAR/03487/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03535/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/03536/2012		A	H3N2	2012		virus_only	10	0
A/MADAGASCAR/04228/2013		A	H3N2	2013		virus_only	18	0
A/MADAGASCAR/04245/2013		A	H3N2	2013		virus_only	18	0
A/MADAGASCAR/0472/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0481/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0501/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0575/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0577/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0606/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0638/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/0648/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0751/2011		A	H3N2	2011		virus_only	16	0
A/MADAGASCAR/0817/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/1121/2011		A	H3N2	2011		virus_only	8	0
A/MADAGASCAR/1147/2011		A	H3N2	2011		virus_only	20	0
A/MADAGASCAR/1152/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/1163/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/1195/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/1206/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/1208/2007		A	H3N2	2007		virus_only	10	0
A/MADAGASCAR/1236/2007		A	H3N2	2007		virus_only	10	0
A/MADAGASCAR/1239/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/1257/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/1294/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/1341/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/145/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/147/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/1486/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/1487/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/1531/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/1581/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/16/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/1602/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/1603/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/1610/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/1611/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/1612/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/1613/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/1621/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/1622/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/1623/1995		A	H3N2	1995		virus_only	5	0
A/MADAGASCAR/1656/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/170/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/19084/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/19096/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/19254/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/193/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/19302/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/194/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/195/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/1957/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/19745/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/19792/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/19801/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/19810/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/202/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/203/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/205/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/207/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/2102/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/2269/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/2282/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2283/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2285/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2286/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/23/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/2324/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2327/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2367/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2393/1995		A	H3N2	1995		virus_only	6	0
A/MADAGASCAR/2395/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2408/1995		A	H3N2	1995		virus_only	6	0
A/MADAGASCAR/241/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/24286/1996		A	H3N2	1996		virus_only	5	0
A/MADAGASCAR/2456/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2457/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2487/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2488/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/25509/1996		A	H3N2	1996		virus_only	5	0
A/MADAGASCAR/25510/1996		A	H3N2	1996		virus_only	5	0
A/MADAGASCAR/25514/1996		A	H3N2	1996		virus_only	5	0
A/MADAGASCAR/2552/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2554/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2572/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2576/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2580/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2583/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2584/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2586/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2611/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2614/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2616/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2618/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2632/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2634/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2634/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2635/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2636/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2636/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2639/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2654/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2670/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/26729/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/2673/1995		A	H3N2	1995		virus_only	6	0
A/MADAGASCAR/2676/2014		A	H3N2	2014		virus_only	10	0
A/MADAGASCAR/2679/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/26810/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/269/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2690/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2694/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2698/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2699/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/2700/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/27029/1996		A	H3N2	1996		virus_only	11	0
A/MADAGASCAR/2714/2014		A	H3N2	2014		virus_only	10	0
A/MADAGASCAR/27190/1996		A	H3N2	1996		virus_only	6	0
A/MADAGASCAR/2730/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/2735/2014		A	H3N2	2014		virus_only	10	0
A/MADAGASCAR/2739/2014		A	H3N2	2014		virus_only	10	0
A/MADAGASCAR/2742/2014		A	H3N2	2014		virus_only	10	0
A/MADAGASCAR/2761/2006		A	H3N2	2006		virus_only	9	0
A/MADAGASCAR/27680/1997		A	H3N2	1997		virus_only	6	0
A/MADAGASCAR/27681/1997		A	H3N2	1997		virus_only	6	0
A/MADAGASCAR/3069/2014		A	H3N2	2014		virus_only	10	0
A/MADAGASCAR/3226/2008		A	H3N2	2008		virus_only	19	0
A/MADAGASCAR/3228/2008		A	H3N2	2008		virus_only	19	0
A/MADAGASCAR/3299/2011		A	H3N2	2011		virus_only	10	0
A/MADAGASCAR/3439/2008		A	H3N2	2008		virus_only	8	0
A/MADAGASCAR/3440/2008		A	H3N2	2008		virus_only	8	0
A/MADAGASCAR/3532/2009		A	H3N2	2009		virus_only	11	0
A/MADAGASCAR/3534/2009		A	H3N2	2009		virus_only	8	0
A/MADAGASCAR/3563/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/357/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/3612/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/3615/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/382/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/3903/2008		A	H3N2	2008		virus_only	8	0
A/MADAGASCAR/4007/2009		A	H3N2	2009		virus_only	19	0
A/MADAGASCAR/4010/2009		A	H3N2	2009		virus_only	11	0
A/MADAGASCAR/412/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/424/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/4286/2009		A	H3N2	2009		virus_only	19	0
A/MADAGASCAR/4287/2009		A	H3N2	2009		virus_only	11	0
A/MADAGASCAR/431/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/431/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/432/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/435/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/438/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/453/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/460/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/4667/2008		A	H3N2	2008		virus_only	8	0
A/MADAGASCAR/469/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/4695/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/471/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/473/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/493/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/5007/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/5642/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/582/2014		A	H3N2	2014		virus_only	11	0
A/MADAGASCAR/5847/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/59/2006		A	H3N2	2006		virus_only	10	0
A/MADAGASCAR/5927/2008		A	H3N2	2008		virus_only	8	0
A/MADAGASCAR/6071/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/61788/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/61789/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62270/2001		A	H3N2	2001		virus_only	12	0
A/MADAGASCAR/62411/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62645/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62648/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62651/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62827/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62886/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62897/2001		A	H3N2	2001		virus_only	6	0
A/MADAGASCAR/62899/2001		A	H3N2	2001		virus_only	12	0
A/MADAGASCAR/6339/2008		A	H3N2	2008		virus_only	8	0
A/MADAGASCAR/648/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/649/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/65357/2002		A	H3N2	2002		virus_only	7	0
A/MADAGASCAR/65376/2002		A	H3N2	2002		virus_only	7	0
A/MADAGASCAR/66213/2002		A	H3N2	2002		virus_only	10	0
A/MADAGASCAR/66220/2002		A	H3N2	2002		virus_only	5	0
A/MADAGASCAR/66222/2002		A	H3N2	2002		virus_only	5	0
A/MADAGASCAR/668/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/672/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/676/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/6949/2009		A	H3N2	2009		virus_only	9	0
A/MADAGASCAR/696/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/69863/2003		A	H3N2	2003		virus_only	8	0
A/MADAGASCAR/699/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/7/2005		A	H3N2	2005		virus_only	7	0
A/MADAGASCAR/70071/2003		A	H3N2	2003		virus_only	7	0
A/MADAGASCAR/70074/2003		A	H3N2	2003		virus_only	8	0
A/MADAGASCAR/70078/2003		A	H3N2	2003		virus_only	7	0
A/MADAGASCAR/70081/2003		A	H3N2	2003		virus_only	8	0
A/MADAGASCAR/706/1993		A	H3N2	1993		virus_only	6	0
A/MADAGASCAR/71710/2004		A	H3N2	2004		virus_only	6	0
A/MADAGASCAR/71725/2004		A	H3N2	2004		virus_only	6	0
A/MADAGASCAR/71776/2004		A	H3N2	2004		virus_only	6	0
A/MADAGASCAR/71824/2004		A	H3N2	2004		virus_only	6	0
A/MADAGASCAR/71891/2004		A	H3N2	2004		virus_only	6	0
A/MADAGASCAR/71901/2004		A	H3N2	2004		virus_only	6	0
A/MADAGASCAR/71976/2004		A	H3N2	2004		virus_only	6	0
