strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/MISSISSIPPI/5/2005		A	H3N2	2005		virus_and_reference	50	82
A/MONTANA/05/2011		A	H3N2	2011		virus_and_reference	12	31
A/MOSCOW/10/1999		A	H3N2	1999		virus_and_reference	863	2887
A/NANCHANG/933/1995		A	H3N2	1995		virus_and_reference	1382	4986
A/NANTES/1441/2017		A	H3N2	2017		virus_and_reference	28	11
A/NEPAL/921/2006		A	H3N2	2006		virus_and_reference	464	1083
A/NETHERLANDS/10260/2018		A	H3N2	2018		virus_and_reference	62	152
A/NETHERLANDS/10260/2018@NYMCX331A		A	H3N2			virus_and_reference	8	8
A/NETHERLANDS/10260/2018@NYMCX331B		A	H3N2			virus_and_reference	8	8
A/NETHERLANDS/177/2008		A	H3N2	2008		virus_and_reference	12	12
A/NETHERLANDS/282/2009		A	H3N2	2009		virus_and_reference	11	13
A/NETHERLANDS/33/1994		A	H3N2	1994		virus_and_reference	15	6
A/NETHERLANDS/348/2007		A	H3N2	2007		virus_and_reference	12	12
A/NETHERLANDS/35/1993		A	H3N2	1993		virus_and_reference	13	14
A/NETHERLANDS/377/2008		A	H3N2	2008		virus_and_reference	11	12
A/NETHERLANDS/4/2007		A	H3N2	2007		virus_and_reference	21	11
A/NETHERLANDS/525/2014		A	H3N2	2014		virus_and_reference	548	912
A/NETHERLANDS/555/2012		A	H3N2	2012		virus_and_reference	24	27
A/NEWCALEDONIA/20/1999		A	H3N2	1999		virus_and_reference	6	50
A/NEWCALEDONIA/71/2014		A	H3N2	2014		virus_and_reference	41	70
A/NEWCALEDONIA/71/2014@IVR178		A	H3N2			virus_and_reference	40	7
A/NEWCALEDONIA/71/2014@NIB91A		A	H3N2			virus_and_reference	37	41
A/NEWCALEDONIA/71/2014@X257A		A	H3N2			virus_and_reference	23	28
A/NEWHAMPSHIRE/14/2005		A	H3N2	2005		virus_and_reference	50	136
A/NEWYORK/55/2001		A	H3N2	2001		virus_and_reference	296	1137
A/NEWYORK/55/2004		A	H3N2	2004		virus_and_reference	266	851
A/NEWYORK/55/2005		A	H3N2	2005		virus_and_reference	93	407
A/NIIGATA/403/2009		A	H3N2	2009		virus_and_reference	32	65
A/NORTHCAROLINA/13/2014		A	H3N2	2014		virus_and_reference	25	14
A/NORTHDAKOTA/1/2004		A	H3N2	2004		virus_and_reference	20	70
A/NORWAY/1789/2011		A	H3N2	2011		virus_and_reference	160	467
A/NORWAY/2178/2014#CLONE37		A	H3N2			virus_and_reference	8	11
