query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file
A/ENGLAND/648/2019	A/England/648/2019	EPI_ISL_408020	2019-12-07	Europe / United Kingdom / CAMBRIDGE	Human	gisaid_meta_2019.xls
A/ENGLAND/648/2019	A/England/648/2019	EPI_ISL_416211	2019-12-07	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/651/2013	A/England/651/2013	EPI_ISL_154749	2013-12-18	Europe / United Kingdom	Human	gisaid_meta_2011-2014.xls
A/ENGLAND/651/2019	A/England/651/2019	EPI_ISL_416212	2019-12-05	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/651/2019	A/England/651/2019	EPI_ISL_459737	2019-12-05	Europe / United Kingdom / GATESHEAD	Human	gisaid_meta_2019.xls
A/ENGLAND/675/2019	A/England/675/2019	EPI_ISL_416213	2019-12-08	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/675/2019	A/England/675/2019	EPI_ISL_428562	2019-12-08	Europe / United Kingdom / NEWCASTLE-UPON-TYNE	Human	gisaid_meta_2019.xls
A/ENGLAND/700/2009	A/England/700/2009	EPI_ISL_187597	2009-09-08	Europe / United Kingdom	Human	gisaid_meta_2010.xls
A/ENGLAND/700/2009	A/England/700/2009	EPI_ISL_77113	2009-09-08	Europe / United Kingdom	Human	gisaid_meta_2010.xls
A/ENGLAND/754/2018	A/England/754/2018	EPI_ISL_347143	2018-12-13	Europe / United Kingdom	Human	gisaid_meta_2018.xls
A/ENGLAND/815/2009	A/England/815/2009	EPI_ISL_187194	2009-09-15	Europe / United Kingdom	Human	gisaid_meta_2010.xls
A/ENGLAND/815/2009	A/England/815/2009	EPI_ISL_77116	2009-09-15	Europe / United Kingdom	Human	gisaid_meta_2010.xls
A/ENGLAND/929/2016	A/England/929/2016	EPI_ISL_237604	2016-04-22	Europe / United Kingdom	Human	gisaid_meta_2015-2016.xls
A/ENGLAND/93/2019	A/England/93/2019	EPI_ISL_389204	2019-01-31	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/94540758/2019	A/England/94540758/2019	EPI_ISL_401559	2019-10-25	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/95/2019	A/England/95/2019	EPI_ISL_389205	2019-02-04	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/962/2016	A/England/962/2016	EPI_ISL_239773	2016-08-30	Europe / United Kingdom	Human	gisaid_meta_2015-2016.xls
A/ENGLAND/99/2019	A/England/99/2019	EPI_ISL_364723	2019-02-07	Europe / United Kingdom / LEEDS	Human	gisaid_meta_2019.xls
A/ENGLAND/99/2019	A/England/99/2019	EPI_ISL_389206	2019-02-07	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/EWLSYW9MYWXLAQ/2019	A/England/eWlsYW9mYWxlaQ/2019	EPI_ISL_389209	2019-02-08	Europe / United Kingdom	Human	gisaid_meta_2019.xls
A/ENGLAND/FMHWY2NXZM9PZG/2018	A/England/fmhwY2NxZm9pZg/2018	EPI_ISL_389210	2018-12-19	Europe / United Kingdom	Human	gisaid_meta_2018.xls
A/ERZURUM/4165/2013	A/Erzurum/4165/2013	EPI_ISL_156904	2013-12-26	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ERZURUM/6/2014	A/Erzurum/6/2014	EPI_ISL_155896	2014-01-02	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ERZURUM/99/2014	A/Erzurum/99/2014	EPI_ISL_155897	2014-01-08	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ERZURUM/TR47/2010	A/Erzurum/TR-47/2010	EPI_ISL_94723	2010-12-08	Asia / Turkey	Human	gisaid_meta_2010.xls
A/ESKILSTUNA/6/2019	A/Eskilstuna/6/2019	EPI_ISL_343381	2019-02-13	Europe / Sweden / Sodermanlands lan	Human	gisaid_meta_2019.xls
A/ESKILSTUNA/6/2019	A/Eskilstuna/6/2019	EPI_ISL_367773	2019-02-13	Europe / Sweden	Human	gisaid_meta_2019.xls
A/ESTONIA/119303/2019	A/Estonia/119303/2019	EPI_ISL_388711	2019-02-11	Europe / Estonia	Human	gisaid_meta_2019.xls
A/ESTONIA/126086/2020	A/Estonia/126086/2020	EPI_ISL_498303	2020-01-30	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/126086/2020	A/Estonia/126086/2020	EPI_ISL_500729	2020-01-30	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/126096/2020	A/Estonia/126096/2020	EPI_ISL_498304	2020-02-01	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/126096/2020	A/Estonia/126096/2020	EPI_ISL_500730	2020-02-01	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/126500/2020	A/Estonia/126500/2020	EPI_ISL_498315	2020-02-19	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/126500/2020	A/Estonia/126500/2020	EPI_ISL_500731	2020-02-19	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/126846/2020	A/Estonia/126846/2020	EPI_ISL_500732	2020-03-02	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/127241/2020	A/Estonia/127241/2020	EPI_ISL_500733	2020-03-05	Europe / Estonia	Human	gisaid_meta_2020-21.xls
A/ESTONIA/29546/2009	A/Estonia/29546/2009	EPI_ISL_60030	2009-02-04	Europe / Estonia	Human	gisaid_meta_2010.xls
A/ESTONIA/65266/2012	A/Estonia/65266/2012	EPI_ISL_121913	2012-02-13	Europe / Estonia	Human	gisaid_meta_2011-2014.xls
A/ESTONIA/65858/2012	A/Estonia/65858/2012	EPI_ISL_121914	2012-02-28	Europe / Estonia	Human	gisaid_meta_2011-2014.xls
A/ESTONIA/76614/2013	A/Estonia/76614/2013	EPI_ISL_145478	2013-03-11	Europe / Estonia	Human	gisaid_meta_2011-2014.xls
A/ESTONIA/76663/2013	A/Estonia/76663/2013	EPI_ISL_145479	2013-03-13	Europe / Estonia	Human	gisaid_meta_2011-2014.xls
A/ESTONIA/76676/2013	A/Estonia/76676/2013	EPI_ISL_145480	2013-03-13	Europe / Estonia	Human	gisaid_meta_2011-2014.xls
A/ESTONIA/91229/2015	A/Estonia/91229/2015	EPI_ISL_179317	2015-01-21	Europe / Estonia	Human	gisaid_meta_2015-2016.xls
A/ESTONIA/91299/2015	A/Estonia/91299/2015	EPI_ISL_179315	2015-01-23	Europe / Estonia	Human	gisaid_meta_2015-2016.xls
A/EXTREMADURA/1749/2014	A/Extremadura/1749/2014	EPI_ISL_163806	2014-04-23	Europe / Spain / Extremadura	Human	gisaid_meta_2011-2014.xls
A/EXTREMADURA/1749/2014	A/Extremadura/1749/2014	EPI_ISL_165543	2014-04-23	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/EXTREMADURA/1752/2014	A/Extremadura/1752/2014	EPI_ISL_163807	2014-04-10	Europe / Spain / Extremadura	Human	gisaid_meta_2011-2014.xls
A/EXTREMADURA/2061/2014	A/Extremadura/2061/2014	EPI_ISL_169382	2014-11-25	Europe / Spain / Extremadura	Human	gisaid_meta_2011-2014.xls
A/EXTREMADURA/2061/2014	A/Extremadura/2061/2014	EPI_ISL_170289	2014-11-25	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/EXTREMADURA/283/2019	A/Extremadura/283/2019	EPI_ISL_338999	2019-01-06	Europe / Spain / Extremadura	Human	gisaid_meta_2019.xls
A/EXTREMADURA/283/2019	A/Extremadura/283/2019	EPI_ISL_355033	2019-01-06	Europe / Spain	Human	gisaid_meta_2019.xls
A/EXTREMADURA/729/2015	A/Extremadura/729/2015	EPI_ISL_181576	2015-02-03	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/EXTREMADURA/731/2015	A/Extremadura/731/2015	EPI_ISL_179318	2015-02-03	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/FES/1440/2018	A/Fes/1440/2018	EPI_ISL_314165	2018-02-26	Africa / Morocco	Human	gisaid_meta_2018.xls
A/FES/67/2016	A/Fes/67/2016	EPI_ISL_262200	2016-11-08	Africa / Morocco	Human	gisaid_meta_2015-2016.xls
A/FIJI/2/2015	A/Fiji/2/2015	EPI_ISL_15146385	2015-03-02	Oceania / Fiji / Rewa	Human	gisaid_meta_2015-2016.xls
A/FIJI/2/2015	A/Fiji/2/2015	EPI_ISL_193166	2015-03-03	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/FIJI/2/2015	A/Fiji/2/2015	EPI_ISL_194628	2015-03-02	Oceania / Fiji / Samabula	Human	gisaid_meta_2015-2016.xls
A/FIJI/2/2015	A/Fiji/2/2015	EPI_ISL_219047	2015-03-02	Oceania / Fiji / Samabula	Human	gisaid_meta_2015-2016.xls
A/FIJI/60/2016	A/Fiji/60/2016	EPI_ISL_232828	2016-05-27	Oceania / Fiji / Rewa	Human	gisaid_meta_2015-2016.xls
A/FIJI/60/2016	A/Fiji/60/2016	EPI_ISL_233270	2016-05-27	Oceania / Fiji / Vitu Levu	Human	gisaid_meta_2015-2016.xls
A/FIJI/60/2016	A/Fiji/60/2016	EPI_ISL_237438	2016-05-27	Oceania / Fiji	Human	gisaid_meta_2015-2016.xls
A/FIJI/60/2016	A/Fiji/60/2016	EPI_ISL_275563	2016-05-27	Oceania / Fiji / Suva	Human	gisaid_meta_2015-2016.xls
A/FINLAND/104/2019	A/Finland/104/2019	EPI_ISL_357714	2019-04-03	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/104/2019	A/Finland/104/2019	EPI_ISL_367845	2019-04-03	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/105/2019	A/Finland/105/2019	EPI_ISL_357772	2019-04-09	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/105/2019	A/Finland/105/2019	EPI_ISL_367774	2019-04-09	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/114/2019	A/Finland/114/2019	EPI_ISL_357711	2019-04-30	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/114/2019	A/Finland/114/2019	EPI_ISL_367846	2019-04-30	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/12/2002	A/Finland/12/2002	EPI_ISL_9552	2002	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/130/2019	A/Finland/130/2019	EPI_ISL_399942	2019-09-13	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/130/2019	A/Finland/130/2019	EPI_ISL_406284	2019-09-13	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/136/2019	A/Finland/136/2019	EPI_ISL_399948	2019-10-25	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/136/2019	A/Finland/136/2019	EPI_ISL_410043	2019-10-25	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/171/2020	A/Finland/171/2020	EPI_ISL_407239	2020-01-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/171/2020	A/Finland/171/2020	EPI_ISL_485735	2020-01-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/171/2020	A/Finland/171/2020	EPI_ISL_486696	2020-01-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/180/2003	A/Finland/180/2003	EPI_ISL_9557	2003	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/180/2020	A/Finland/180/2020	EPI_ISL_467017	2020-01-14	Europe / Finland / Lansi-Suomen Laani	Human	gisaid_meta_2020-21.xls
A/FINLAND/180/2020	A/Finland/180/2020	EPI_ISL_485738	2020-01-14	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/180/2020	A/Finland/180/2020	EPI_ISL_486699	2020-01-14	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/181/2020	A/Finland/181/2020	EPI_ISL_467018	2020-02-01	Europe / Finland / Lapin Laeaeni	Human	gisaid_meta_2020-21.xls
A/FINLAND/181/2020	A/Finland/181/2020	EPI_ISL_485739	2020-02-01	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/181/2020	A/Finland/181/2020	EPI_ISL_486700	2020-02-01	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/183/2020	A/Finland/183/2020	EPI_ISL_1064133	2020-03-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/183/2020	A/Finland/183/2020	EPI_ISL_468165	2020-03-02	Europe / Finland / Etela-Suomen Laani	Human	gisaid_meta_2020-21.xls
A/FINLAND/183/2020	A/Finland/183/2020	EPI_ISL_485740	2020-03-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/183/2020	A/Finland/183/2020	EPI_ISL_486701	2020-03-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/183/2020	A/Finland/183/2020	EPI_ISL_732327	2020-03-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/183/2020	A/Finland/183/2020	EPI_ISL_882653	2020-03-02	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/184/2020	A/Finland/184/2020	EPI_ISL_467019	2020-03-16	Europe / Finland / Lansi-Suomen Laani	Human	gisaid_meta_2020-21.xls
A/FINLAND/184/2020	A/Finland/184/2020	EPI_ISL_485741	2020-03-16	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/184/2020	A/Finland/184/2020	EPI_ISL_486702	2020-03-16	Europe / Finland	Human	gisaid_meta_2020-21.xls
A/FINLAND/196/2012	A/Finland/196/2012	EPI_ISL_104008	2012-01-09	Europe / Finland / Lapin Laeaeni	Human	gisaid_meta_2011-2014.xls
A/FINLAND/196/2012	A/Finland/196/2012	EPI_ISL_107847	2012-01-09	Europe / Finland	Human	gisaid_meta_2011-2014.xls
A/FINLAND/197/2012	A/Finland/197/2012	EPI_ISL_104010	2012-01-12	Europe / Finland / Lansi-Suomen Laani	Human	gisaid_meta_2011-2014.xls
A/FINLAND/2/2002	A/Finland/2/2002	EPI_ISL_9551	2002	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/300/2003	A/Finland/300/2003	EPI_ISL_9563	2003	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/323/2003	A/Finland/323/2003	EPI_ISL_9579	2003	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/338/2003	A/Finland/338/2003	EPI_ISL_9580	2003	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/462/2014	A/Finland/462/2014	EPI_ISL_170222	2014-10-08	Europe / Finland / Etela-Suomen Laani	Human	gisaid_meta_2011-2014.xls
A/FINLAND/462/2014	A/Finland/462/2014	EPI_ISL_175021	2014-10-08	Europe / Finland	Human	gisaid_meta_2011-2014.xls
A/FINLAND/494/2015	A/Finland/494/2015	EPI_ISL_181692	2015-02-11	Europe / Finland / Lansi-Suomen Laani	Human	gisaid_meta_2015-2016.xls
A/FINLAND/506/2015	A/Finland/506/2015	EPI_ISL_181694	2015-02-02	Europe / Finland / Etela-Suomen Laani	Human	gisaid_meta_2015-2016.xls
A/FINLAND/506/2015	A/Finland/506/2015	EPI_ISL_190908	2015-02-02	Europe / Finland	Human	gisaid_meta_2015-2016.xls
A/FINLAND/525/2015	A/Finland/525/2015	EPI_ISL_181696	2015-04-13	Europe / Finland / Lansi-Suomen Laani	Human	gisaid_meta_2015-2016.xls
A/FINLAND/525/2015	A/Finland/525/2015	EPI_ISL_190909	2015-04-13	Europe / Finland	Human	gisaid_meta_2015-2016.xls
A/FINLAND/586/2016	A/Finland/586/2016	EPI_ISL_221329	2016-02-15	Europe / Finland / Lansi-Suomen Laani	Human	gisaid_meta_2015-2016.xls
A/FINLAND/586/2016	A/Finland/586/2016	EPI_ISL_226086	2016-02-15	Europe / Finland	Human	gisaid_meta_2015-2016.xls
A/FINLAND/618/2005	A/FINLAND/618/2005	EPI_ISL_18232	2005-03-12	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/618/2005	A/FINLAND/618/2005	EPI_ISL_187309	2005-03-12	Europe / Finland	Human	gisaid_meta_2010.xls
A/FINLAND/92/2019	A/Finland/92/2019	EPI_ISL_357721	2019-03-06	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/92/2019	A/Finland/92/2019	EPI_ISL_367850	2019-03-06	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/99/2019	A/Finland/99/2019	EPI_ISL_357712	2019-03-26	Europe / Finland	Human	gisaid_meta_2019.xls
A/FINLAND/99/2019	A/Finland/99/2019	EPI_ISL_367851	2019-03-26	Europe / Finland	Human	gisaid_meta_2019.xls
A/FRIULIVENEZIAGIULIA/10/2016	A/Friuli-Venezia Giulia/10/2016	EPI_ISL_224537	2016-02-25	Europe / Italy	Human	gisaid_meta_2015-2016.xls
A/FRIULIVENEZIAGIULIA/14/2016	A/Friuli-Venezia Giulia/14/2016	EPI_ISL_224538	2016-03-01	Europe / Italy	Human	gisaid_meta_2015-2016.xls
A/FRIULIVENEZIAGIULIA/228/2020	A/Friuli Venezia Giulia/228/2020	EPI_ISL_486708	2020-02-10	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/228/2020	A/Friuli Venezia Giulia/228/2020	EPI_ISL_486709	2020-02-10	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/229/2020	A/Friuli Venezia Giulia/229/2020	EPI_ISL_486710	2020-02-10	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/229/2020	A/Friuli Venezia Giulia/229/2020	EPI_ISL_486711	2020-02-10	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/233/2019	A/Friuli Venezia Giulia/233/2019	EPI_ISL_416221	2019-11-28	Europe / Italy	Human	gisaid_meta_2019.xls
A/FRIULIVENEZIAGIULIA/240/2020	A/Friuli Venezia Giulia/240/2020	EPI_ISL_486714	2020-02-08	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/240/2020	A/Friuli Venezia Giulia/240/2020	EPI_ISL_486715	2020-02-08	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/244/2020	A/Friuli Venezia Giulia/244/2020	EPI_ISL_486716	2020-02-11	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/244/2020	A/Friuli Venezia Giulia/244/2020	EPI_ISL_486717	2020-02-11	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/257/2020	A/Friuli Venezia Giulia/257/2020	EPI_ISL_486718	2020-02-11	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/257/2020	A/Friuli Venezia Giulia/257/2020	EPI_ISL_486719	2020-02-11	Europe / Italy	Human	gisaid_meta_2020-21.xls
A/FRIULIVENEZIAGIULIA/59/2017	A/Friuli-Venezia Giulia/59/2017	EPI_ISL_275500	2017-02-01	Europe / Italy	Human	gisaid_meta_2017.xls
A/FUJIANLICHENG/1729/2017	A/Fujian-Licheng/1729/2017	EPI_ISL_290625	2017-09-11	Asia / China / Fujian	Human	gisaid_meta_2017.xls
A/FUJIANLICHENG/1729/2017	A/Fujian-Licheng/1729/2017	EPI_ISL_303156	2017-09-11	Asia / China	Human	gisaid_meta_2017.xls
A/FUKUI/78/2015	A/FUKUI/78/2015	EPI_ISL_191936	2015-03-02	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/FUKUI/78/2015	A/Fukui/78/2015	EPI_ISL_197512	2015-03-02	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/FUKUI/78/2015	A/Fukui/78/2015	EPI_ISL_197541	2015-03-02	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/FUKUI/78/2015	A/Fukui/78/2015	EPI_ISL_201689	2015-03-02	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/FUKUOKA/15/2002	A/FUKUOKA/15/2002	EPI_ISL_186546	2002-02-23	Asia / Japan / Fukuoka	Human	gisaid_meta_2010.xls
A/FUKUOKA/15/2002	A/Fukuoka/15/2002	EPI_ISL_6314519	2002-02-23	Asia / Japan	Human	gisaid_meta_2010.xls
A/FUKUOKA/15/2002	A/FUKUOKA/15/2002	EPI_ISL_67628	2002-02-23	Asia / Japan	Human	gisaid_meta_2010.xls
A/FUKUSHIMA/127/2001	A/Fukushima/127/2001	EPI_ISL_185703	2001-03-14	Asia / Japan / Fukushima	Human	gisaid_meta_2010.xls
A/FUKUSHIMA/69/2015	A/FUKUSHIMA/69/2015	EPI_ISL_191759	2015-04-24	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/FUKUSHIMA/69/2015	A/Fukushima/69/2015	EPI_ISL_197542	2015-04-24	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/FUKUSHIMA/69/2015	A/Fukushima/69/2015	EPI_ISL_197550	2015-04-24	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/FUKUSHIMA/69/2015	A/Fukushima/69/2015	EPI_ISL_201684	2015-04-24	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/GALANTA/473/2019	A/Galanta/473/2019	EPI_ISL_377297	2019-03-12	Europe / Slovakia	Human	gisaid_meta_2019.xls
A/GALATI/88977/2012	A/Galati/88977/2012	EPI_ISL_107849	2011-12-27	Europe / Romania	Human	gisaid_meta_2011-2014.xls
A/GALICIA/2054/2014	A/Galicia/2054/2014	EPI_ISL_169249	2014-11-24	Europe / Spain / Galicia	Human	gisaid_meta_2011-2014.xls
A/GALICIA/2054/2014	A/Galicia/2054/2014	EPI_ISL_170291	2014-11-24	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/GALICIA/2055/2014	A/Galicia/2055/2014	EPI_ISL_169250	2014-11-20	Europe / Spain / Galicia	Human	gisaid_meta_2011-2014.xls
A/GALICIA/760/2015	A/Galicia/760/2015	EPI_ISL_173321	2015-01-20	Europe / Spain / Galicia	Human	gisaid_meta_2015-2016.xls
A/GALICIA/RR9911/2012	A/Galicia/RR9911/2012	EPI_ISL_136408	2012-04-18	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0063940/2012	A/Gambia/G0063940/2012	EPI_ISL_164219	2012-10-21	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0065236/2012	A/Gambia/G0065236/2012	EPI_ISL_164220	2012-10-29	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0065240/2012	A/Gambia/G0065240/2012	EPI_ISL_164221	2012-10-29	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0065736/2012	A/Gambia/G0065736/2012	EPI_ISL_164222	2012-10-30	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0069636/2012	A/Gambia/G0069636/2012	EPI_ISL_166217	2012-11-08	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0069636/2012	A/Gambia/G0069636/2012	EPI_ISL_166218	2012-11-08	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0069640/2012	A/Gambia/G0069640/2012	EPI_ISL_164223	2012-11-08	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0070336/2012	A/Gambia/G0070336/2012	EPI_ISL_164224	2012-11-12	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAMBIA/G0071436/2012	A/Gambia/G0071436/2012	EPI_ISL_164225	2012-11-13	Africa / Gambia	Human	gisaid_meta_2011-2014.xls
A/GAROUA/19V1937/2019	A/Garoua/19V-1937/2019	EPI_ISL_388771	2019-03-22	Africa / Cameroon	Human	gisaid_meta_2019.xls
A/GAROUA/19V1937/2019	A/Garoua/19V-1937/2019	EPI_ISL_393989	2019-03-22	Africa / Cameroon	Human	gisaid_meta_2019.xls
A/GAZIANTEP/1950/2016	A/Gaziantep/1950/2016	EPI_ISL_267716	2016-12-14	Asia / Turkey	Human	gisaid_meta_2015-2016.xls
A/GENOVA/1614/2014	A/Genova/1614/2014	EPI_ISL_170638	2014-12-09	Europe / Italy	Human	gisaid_meta_2011-2014.xls
A/GEORGIA/1041/2016	A/Georgia/1041/2016	EPI_ISL_223628	2016-04-07	Asia / Georgia	Human	gisaid_meta_2015-2016.xls
A/GEORGIA/15/2010	A/Georgia/15/2010	EPI_ISL_136633	2010-09-20	North America / United States	Human	gisaid_meta_2010.xls
A/GEORGIA/15/2010	A/Georgia/15/2010	EPI_ISL_83167	2010-09-20	North America / United States / Georgia / USA	Human	gisaid_meta_2010.xls
A/GEORGIA/1819/2016	A/Georgia/1819/2016	EPI_ISL_248425	2016-12-23	Asia / Georgia	Human	gisaid_meta_2015-2016.xls
A/GEORGIA/532/2015	A/Georgia/532/2015	EPI_ISL_179321	2015-03-09	Asia / Georgia	Human	gisaid_meta_2015-2016.xls
A/GEORGIA/532/2015	A/Georgia/532/2015	EPI_ISL_195324	2015-03-09	Asia / Georgia	Human	gisaid_meta_2015-2016.xls
A/GEORGIA/658/2019	A/Georgia/658/2019	EPI_ISL_367776	2019-03-13	Asia / Georgia	Human	gisaid_meta_2019.xls
A/GEORGIA/699/2014	A/Georgia/699/2014	EPI_ISL_162112	2014-03-26	Asia / Georgia	Human	gisaid_meta_2011-2014.xls
A/GEORGIA/864/2016	A/Georgia/864/2016	EPI_ISL_223627	2016-03-02	Asia / Georgia	Human	gisaid_meta_2015-2016.xls
A/GHANA/1041/2019	A/Ghana/1041/2019	EPI_ISL_393990	2019-01-04	Africa / Ghana	Human	gisaid_meta_2019.xls
A/GHANA/1050/2019	A/Ghana/1050/2019	EPI_ISL_393991	2019-04-04	Africa / Ghana	Human	gisaid_meta_2019.xls
A/GHANA/154/2019	A/Ghana/154/2019	EPI_ISL_393992	2019-04-04	Africa / Ghana	Human	gisaid_meta_2019.xls
A/GHANA/1841/2017	A/Ghana/1841/2017	EPI_ISL_280260	2017-06-24	Africa / Ghana	Human	gisaid_meta_2017.xls
A/GHANA/2717/2017	A/Ghana/2717/2017	EPI_ISL_292905	2017-09-15	Africa / Ghana	Human	gisaid_meta_2017.xls
A/GHANA/312/2019	A/Ghana/312/2019	EPI_ISL_393993	2019-06-06	Africa / Ghana	Human	gisaid_meta_2019.xls
A/GHANA/3361/2019	A/Ghana/3361/2019	EPI_ISL_406174	2019-10-28	Africa / Ghana	Human	gisaid_meta_2019.xls
A/GHANA/3532/2019	A/Ghana/3532/2019	EPI_ISL_406176	2019-11-04	Africa / Ghana	Human	gisaid_meta_2019.xls
A/GHANA/3532/2019	A/Ghana/3532/2019	EPI_ISL_416230	2019-11-04	Africa / Ghana	Human	gisaid_meta_2019.xls
A/GHANA/758/2018	A/Ghana/758/2018	EPI_ISL_347145	2018-10-29	Africa / Ghana	Human	gisaid_meta_2018.xls
A/GHANA/DARI0063/2013	A/Ghana/DARI-0063/2013	EPI_ISL_145465	2013-04-04	Africa / Ghana	Human	gisaid_meta_2011-2014.xls
A/GHANA/DARI0098/2013	A/Ghana/DARI-0098/2013	EPI_ISL_145461	2013-07-04	Africa / Ghana	Human	gisaid_meta_2011-2014.xls
A/GHANA/DARI0101/2014	A/Ghana/DARI-0101/2014	EPI_ISL_166219	2014-05-19	Africa / Ghana	Human	gisaid_meta_2011-2014.xls
A/GHANA/DARI0104/2014	A/Ghana/DARI-0104/2014	EPI_ISL_166220	2014-05-27	Africa / Ghana	Human	gisaid_meta_2011-2014.xls
