query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file
A/VICTORIA/316/1998	A/Victoria/316/1998	EPI_ISL_3492429	1998-05-28	Oceania / Australia / Victoria / Delahay	Human	gisaid_meta_2010.xls
A/VICTORIA/323/1998	A/Victoria/323/1998	EPI_ISL_3492445	1998-05-31	Oceania / Australia / Victoria / Collingwood	Human	gisaid_meta_2010.xls
A/VICTORIA/358/1999	A/Victoria/358/1999	EPI_ISL_3692573	1999-07-17	Oceania / Australia / Victoria / Whittlesea	Human	gisaid_meta_2010.xls
A/VICTORIA/47/1997	A/Victoria/47/1997	EPI_ISL_14284895	1997-07-09	Oceania / Australia / Victoria / Sandringham	Human	gisaid_meta_2010.xls
A/VICTORIA/47/1997	A/Victoria/47/1997	EPI_ISL_167257	1997	Oceania / Australia	Human	gisaid_meta_2010.xls
A/VICTORIA/500/2001	A/Victoria/500/2001	EPI_ISL_5522583	2001-06-19	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/500/2004	A/Victoria/500/2004	EPI_ISL_12069	2004-08-13	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/500/2004	A/Victoria/500/2004	EPI_ISL_21252	2004-08-13	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/5006/2014	A/Victoria/5006/2014	EPI_ISL_15146455	2014-08-25	Oceania / Australia / Victoria / Ashwood	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5006/2014	A/VICTORIA/5006/2014	EPI_ISL_168941	2014-08-25	Oceania / Australia / Victoria / Ashwood	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5006/2014	A/Victoria/5006/2014	EPI_ISL_175062	2014	Oceania / Australia	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5006/2014	A/Victoria/5006/2014	EPI_ISL_176668	2014-08-25	Oceania / Australia	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5006/2014	A/Victoria/5006/2014	EPI_ISL_219037	2014-08-25	Oceania / Australia / Victoria / Ashburton	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5006/2014	A/Victoria/5006/2014	EPI_ISL_288179	2014-08-25	Oceania / Australia / Victoria	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/503/2005	A/Victoria/503/2005	EPI_ISL_10656214	2005-05-29	Oceania / Australia / Victoria / Oakleigh	Human	gisaid_meta_2010.xls
A/VICTORIA/503/2005	A/Victoria/503/2005	EPI_ISL_10656215	2005-05-29	Oceania / Australia / Victoria / Oakleigh	Human	gisaid_meta_2010.xls
A/VICTORIA/503/2005	A/VICTORIA/503/2005	EPI_ISL_185765	2005-05-29	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/503/2005	A/VICTORIA/503/2005	EPI_ISL_64791	2005	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/503/2015	A/Victoria/503/2015	EPI_ISL_192808	2015-03-31	Oceania / Australia / Victoria / Brewick	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/503/2015	A/Victoria/503/2015	EPI_ISL_193218	2015-03-31	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/503/2015	A/Victoria/503/2015	EPI_ISL_194165	2015-03-31	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/503/2015	A/Victoria/503/2015	EPI_ISL_219038	2015-03-31	Oceania / Australia / Victoria / Berwick	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/505/2004	A/VICTORIA/505/2004	EPI_ISL_65582	2004-09-06	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/5060/2014	A/VICTORIA/5060/2014	EPI_ISL_168962	2014-09-19	Oceania / Australia / Victoria / Kew	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5060/2014	A/Victoria/5060/2014	EPI_ISL_169521	2014-09-19	Oceania / Australia / Victoria / Kew	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5060/2014	A/Victoria/5060/2014	EPI_ISL_172428	2014-09-19	Oceania / Australia	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/5060/2014	A/Victoria/5060/2014	EPI_ISL_288182	2014-09-19	Oceania / Australia / Victoria	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/507/2004	A/Victoria/507/2004	EPI_ISL_12055	2004-09-09	Oceania / Australia / Victoria / Carnegie	Human	gisaid_meta_2010.xls
A/VICTORIA/507/2004	A/Victoria/507/2004	EPI_ISL_65583	2004-09-09	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/507/2004	A/Victoria/507/2004	EPI_ISL_6949658	2004-09-09	Oceania / Australia / Victoria / Carnegie	Human	gisaid_meta_2010.xls
A/VICTORIA/508/2001	A/Victoria/508/2001	EPI_ISL_186073	2001-07-30	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
